food_id,diet,intolerances,excluded_ingredients,food_type,meal_costs_perserving,servings,all_diets,calories,carbs,fat,protein
665378,vegetarian,seafood,none,main course,1.2322,6,"[""lacto ovo vegetarian""]",345.0,49g,9g,17g
648275,vegetarian,seafood,garlic,main course,1.703,4,"[""gluten free"", ""lacto ovo vegetarian"", ""primal""]",269.0,9g,13g,28g
635317,none,gluten,onion,main course,4.3323,2,"[""gluten free"", ""dairy free"", ""pescatarian""]",343.0,12g,16g,35g
636608,vegetarian,gluten,mushrooms,main course,2.5124,4,"[""gluten free"", ""lacto ovo vegetarian""]",492.0,57g,23g,16g
658440,vegetarian,gluten,onion,main course,1.4874,4,"[""gluten free"", ""lacto ovo vegetarian""]",344.0,47g,12g,13g
647563,vegetarian,seafood,onion,main course,4.3995,6,"[""gluten free"", ""lacto ovo vegetarian""]",500.0,53g,23g,25g
641062,vegetarian,tree nut,garlic,main course,1.5373,6,"[""gluten free"", ""lacto ovo vegetarian""]",272.0,34g,10g,13g
648524,none,dairy,none,main course,5.3209,9,"[""dairy free""]",524.0,20g,18g,67g
633165,vegetarian,seafood,garlic,main course,1.73,4,"[""lacto ovo vegetarian""]",506.0,71g,17g,17g
681706,vegetarian,gluten,onion,main course,1.683,2,"[""gluten free"", ""lacto ovo vegetarian""]",380.0,29g,13g,35g
652706,vegetarian,dairy,beef,main course,9.3974,1,"[""gluten free"", ""dairy free"", ""lacto ovo vegetarian""]",512.0,73g,9g,40g
1096162,ketogenic,none,onion,main course,1.3043,10,"[""gluten free"", ""dairy free"", ""paleolithic"", ""primal"", ""ketogenic""]",327.0,4g,23g,19g
715447,none,seafood,none,main course,3.4526,8,"[""dairy free""]",565.0,55g,19g,45g
637357,gluten free,tree nut,onion,main course,2.7452,1,"[""gluten free"", ""dairy free"", ""whole 30"", ""pescatarian""]",459.0,16g,27g,35g
1096265,ketogenic,dairy,none,main course,4.8013,2,"[""gluten free"", ""dairy free"", ""paleolithic"", ""primal"", ""whole 30"", ""ketogenic""]",855.0,20g,68g,40g
649946,none,dairy,beef,main course,1.001,6,"[""gluten free"", ""dairy free"", ""lacto ovo vegetarian"", ""vegan""]",303.0,55g,1g,19g
633624,none,seafood,none,main course,3.9608,6,[],662.0,33g,29g,65g
661570,none,tree nut,garlic,main course,7.7724,4,"[""gluten free"", ""dairy free"", ""pescatarian""]",232.0,2g,4g,43g
660475,vegetarian,none,mushrooms,main course,2.4349000000000003,8,"[""dairy free"", ""lacto ovo vegetarian""]",440.0,54g,21g,13g
654125,none,dairy,none,main course,7.4204,6,"[""dairy free""]",444.0,15g,18g,46g
636167,ketogenic,tree nut,onion,main course,3.6816,2,"[""gluten free"", ""dairy free"", ""ketogenic""]",419.0,11g,29g,23g
657312,none,seafood,garlic,main course,1.5447,6,[],610.0,75g,25g,22g
648774,ketogenic,gluten,garlic,main course,4.1684,6,"[""gluten free"", ""ketogenic""]",778.0,7g,62g,44g
639620,ketogenic,none,mushrooms,main course,3.0634,6,"[""pescatarian"", ""ketogenic""]",322.0,6g,26g,15g
640798,vegetarian,none,mushrooms,main course,3.1289,4,"[""gluten free"", ""lacto ovo vegetarian"", ""primal""]",678.0,29g,55g,20g
75081,ketogenic,none,garlic,main course,8.8658,10,[],370.0,24g,26g,8g
644108,gluten free,seafood,mushrooms,main course,4.2975,2,"[""gluten free"", ""lacto ovo vegetarian""]",459.0,48g,25g,21g
1095763,ketogenic,gluten,mushrooms,main course,1.3454,4,"[""gluten free"", ""dairy free"", ""whole 30"", ""ketogenic""]",400.0,7g,31g,22g
638455,ketogenic,tree nut,none,main course,3.3675,4,"[""gluten free"", ""ketogenic""]",627.0,14g,43g,42g
652427,ketogenic,gluten,none,main course,1.6408,8,"[""gluten free"", ""dairy free"", ""paleolithic"", ""primal"", ""whole 30"", ""ketogenic""]",372.0,8g,28g,20g
638552,none,tree nut,onion,main course,3.0609,4,"[""gluten free""]",455.0,25g,25g,33g
647606,ketogenic,none,none,main course,2.9742,6,"[""gluten free"", ""dairy free"", ""paleolithic"", ""primal"", ""ketogenic""]",620.0,14g,45g,37g
661522,none,seafood,onion,main course,1.7588,2,"[""gluten free""]",368.0,0.64g,22g,37g
661340,none,gluten,none,main course,3.3897000000000004,1,"[""gluten free"", ""primal""]",321.0,29g,12g,22g
1096010,vegetarian,dairy,garlic,main course,1.8848,2,"[""dairy free"", ""lacto ovo vegetarian""]",571.0,39g,34g,25g
646626,none,seafood,onion,main course,1.9,4,"[""dairy free""]",500.0,92g,5g,16g
643150,ketogenic,none,mushrooms,main course,1.4799,4,"[""gluten free"", ""primal"", ""ketogenic""]",281.0,5g,20g,19g
652250,gluten free,dairy,onion,main course,2.0649,4,"[""gluten free"", ""dairy free""]",331.0,44g,5g,26g
633921,gluten free,gluten,onion,main course,4.4376,2,"[""gluten free"", ""dairy free"", ""pescatarian""]",301.0,18g,14g,25g
730914,none,none,beef,main course,3.138,1,"[""gluten free"", ""primal""]",,,,
642230,ketogenic,none,beef,main course,2.8467,2,"[""gluten free"", ""primal"", ""ketogenic""]",795.0,10g,69g,32g
639954,vegan,none,none,main course,1.638,3,"[""gluten free"", ""dairy free"", ""lacto ovo vegetarian"", ""vegan""]",384.0,62g,11g,12g
